model,split,accuracy,macro_f1,macro_precision,macro_recall,auc_macro,auc_micro,epochs_run,train_time_s
MobileNetV2,0.5,0.6909492273730684,0.6940032860837057,0.7083428882329649,0.6934360266279741,0.9604434192324778,0.9624230228540956,20,116.4629499912262
MobileNetV2,0.6,0.7283874923359902,0.7284172048493257,0.7313265642671435,0.7324400578277205,0.967740081337884,0.9694275878559462,20,117.95997023582458
MobileNetV2,0.7,0.741724560686555,0.7429584780689947,0.7544331962184396,0.7425026635330976,0.9731811993258952,0.9741084760719656,20,124.47151970863342
MobileNetV2,0.8,0.7553648068669528,0.76175939314839,0.7718170498692277,0.7604452532139374,0.976561779263266,0.977194555575338,20,167.8749601840973
MobileNetV2,0.9,0.7610294117647058,0.7557774970926134,0.76010824814001,0.7563907823702131,0.9765125242495136,0.9772802574083932,20,138.28953409194946
ResNet50,0.5,0.7782683345597253,0.7788593358943459,0.7849179893299097,0.7769387106898106,0.978621055149088,0.9800280493224436,20,145.79449224472046
ResNet50,0.6,0.8056407112201104,0.8080216621949466,0.8182198179828719,0.8028039618689088,0.9827135828049322,0.9837296863437388,20,160.67372679710388
ResNet50,0.7,0.8046587658357172,0.8085265952488223,0.8217484858316947,0.8034655519848934,0.9850541444916996,0.9853500221482064,20,414.2911729812622
ResNet50,0.8,0.8461066830165542,0.8474392091610293,0.8535111249642285,0.8463603633387092,0.9911485164080484,0.9912447751499598,20,151.14632320404053
ResNet50,0.9,0.8419117647058824,0.8425153617934383,0.8453263594228978,0.8421660983130469,0.9910854360870918,0.9912598334959928,20,153.36142325401306
EfficientNetB0,0.5,0.7216090262447878,0.7281953208205147,0.7311136611682875,0.7290700760394763,0.963595115454128,0.9663927601997244,20,149.55821919441223
EfficientNetB0,0.6,0.746474555487431,0.7551973767448817,0.7602489920929499,0.7537400247741065,0.9701273507005016,0.9727261230255786,20,152.1552722454071
EfficientNetB0,0.7,0.7592970984879445,0.7676761344479077,0.7761528843881773,0.7645268258643233,0.9754774025168634,0.9767365530658916,20,156.90107822418213
EfficientNetB0,0.8,0.7811158798283262,0.7880443125867338,0.7993172007452177,0.7841037310772604,0.9792497789107248,0.9799949644459056,20,313.4677884578705
EfficientNetB0,0.9,0.7708333333333334,0.7790998596062899,0.7799372643773879,0.782111950570874,0.9785469494885276,0.9804926636944372,20,427.8789219856262
InceptionV3,0.5,0.6590630365464802,0.6631415741621398,0.6705530218262155,0.6615176384471646,0.9506284885419348,0.9544097161323176,20,296.8811209201813
InceptionV3,0.6,0.6762722256284488,0.6784695219179635,0.6967807839215847,0.6711158413889422,0.9544492484608644,0.957602887858754,20,380.37674736976624
InceptionV3,0.7,0.7020841847159788,0.7080399886205017,0.7184292674694988,0.7037848408505342,0.9609330350376116,0.9632139106435964,20,387.760439157486
InceptionV3,0.8,0.721030042918455,0.7273136220236307,0.745713453619764,0.7188702573507335,0.9656301081908808,0.9676239087090536,20,539.3998279571533
InceptionV3,0.9,0.7536764705882353,0.7555927652251698,0.76335591648714,0.7523729705693685,0.9700246483156041,0.9717305474225889,20,158.859370470047
VGG16,0.5,0.7971547706647044,0.8015120187219643,0.8076620169998601,0.7994048113666937,0.9796655038102663,0.9811725360377386,20,169.89063024520874
VGG16,0.6,0.8126916002452483,0.8158702174488115,0.8196822492705378,0.8161349242922126,0.9839416341636867,0.9848610522214487,20,173.04923915863037
VGG16,0.7,0.8222313036371066,0.8279856874869563,0.833785351650845,0.8264255810998703,0.9877566572316333,0.9881993563922965,20,169.9702432155609
VGG16,0.8,0.8412017167381974,0.848531778994745,0.8531575488699072,0.8463328042242703,0.9909022862126674,0.9909950505309206,20,179.1578071117401
VGG16,0.9,0.8517156862745098,0.8576039583855423,0.8612628399502257,0.8585651823231792,0.9912825856642727,0.9915238083355514,20,173.3500247001648
