func,func_id,category,algo,mean,std,min,max,median
F1,1,unimodalna,DESABOA,48606987.89842499,24862446.62780468,5129187.043389854,121165434.48441097,46114796.713527
F1,1,unimodalna,SABOA,18778787139.269386,6434594982.582894,6507642584.436807,29975432415.940052,17433430442.896496
F4,4,multimodalna,DESABOA,133.4609626497829,32.87181718387703,79.74166881870724,248.00907350854368,125.12182985664299
F4,4,multimodalna,SABOA,19894.490002045888,2877.5807608495143,5692.573644692319,21546.04040574052,21459.333135060017
F5,5,multimodalna,DESABOA,8.077336404682558e-05,0.00015093569505990882,9.959023827832425e-08,0.000781163910005489,2.3213429699353583e-05
F5,5,multimodalna,SABOA,0.018013948768268662,0.011766582098116212,0.000517039448993728,0.05183706777199859,0.014513962605974484
F9,9,multimodalna,DESABOA,863.9497168712472,284.45132283723296,126.7916894375112,1622.3294402569995,851.2794368992077
F9,9,multimodalna,SABOA,2168.2455109091597,276.4917670000033,1410.378604252313,2822.2524610652627,2112.292916471385
F10,10,hybrydowa,DESABOA,19869.02726495853,11101.390954103063,5362.119575960437,55285.03942923799,17019.602825601512
F10,10,hybrydowa,SABOA,149907656.00094995,170651459.63816425,543004.3540977576,451515462.108631,57183635.71088902
F14,14,hybrydowa,DESABOA,251151.15336649353,258749.87709045023,11459.196078575247,998379.9403607508,132888.471453128
F14,14,hybrydowa,SABOA,67961877.56021209,89646898.1334362,138820.82510602652,399321205.34684604,21433498.630050216
F17,17,hybrydowa,DESABOA,48029.17537235568,24598.533106825013,6735.102606595476,147232.97694121802,43887.5249894324
F17,17,hybrydowa,SABOA,130849101.85994661,225376254.1017129,84969.7384548746,1153025957.000358,32922596.809747513
F20,20,złożona,DESABOA,230.33585297054464,73.13738508496542,58.593463921431976,419.46571865900796,212.09903996271896
F20,20,złożona,SABOA,10199.253367334682,5820.118183577389,2052.2186671059217,19205.36490761662,9380.023216047457
F21,21,złożona,DESABOA,113.68659826737245,1.9124701370345112,109.78652924812604,120.14893748092982,113.34729362098778
F21,21,złożona,SABOA,283.3058308409293,176.51538571174729,125.90013829111058,967.0146597200269,222.84407120527885
F24,24,złożona,DESABOA,504.74316774765424,24.731583512012516,481.61235778955415,615.5788622983027,494.592704097749
F24,24,złożona,SABOA,1428.1959796953395,321.72850196033244,713.6594287187527,1862.2890431590222,1386.0188135966514
F27,27,złożona,DESABOA,163.17874859222078,107.52661457876707,58.578830924412614,459.32019128798765,128.32981148595127
F27,27,złożona,SABOA,930.1845935177419,383.5429960058957,266.4267440237036,2404.2981151883087,847.146178256954
F29,29,złożona,DESABOA,4065666.866778684,6276061.678386953,14820.276841992003,29408996.034643903,1690596.6622022213
F29,29,złożona,SABOA,4105473830.017183,5122062101.651093,491979.37925732293,22573802977.293575,2019744624.0952358
