func,func_id,category,median_SABOA,median_DESABOA,statistic,p_value,winner
F1,1,unimodalna,17433430442.896496,46114796.713527,0.0,5.145276051717656e-10,DESABOA
F4,4,multimodalna,21459.333135060017,125.12182985664299,0.0,5.145276051717656e-10,DESABOA
F5,5,multimodalna,0.014513962605974484,2.3213429699353583e-05,0.0,5.145276051717656e-10,DESABOA
F9,9,multimodalna,2112.292916471385,851.2794368992077,0.0,5.145276051717656e-10,DESABOA
F10,10,hybrydowa,57183635.71088902,17019.602825601512,0.0,5.145276051717656e-10,DESABOA
F14,14,hybrydowa,21433498.630050216,132888.471453128,1.0,5.461520578031993e-10,DESABOA
F17,17,hybrydowa,32922596.809747513,43887.5249894324,1.0,5.461520578031993e-10,DESABOA
F20,20,złożona,9380.023216047457,212.09903996271896,0.0,5.145276051717656e-10,DESABOA
F21,21,złożona,222.84407120527885,113.34729362098778,0.0,5.145276051717656e-10,DESABOA
F24,24,złożona,1386.0188135966514,494.592704097749,0.0,5.145276051717656e-10,DESABOA
F27,27,złożona,847.146178256954,128.32981148595127,0.0,5.145276051717656e-10,DESABOA
F29,29,złożona,2019744624.0952358,1690596.6622022213,0.0,5.145276051717656e-10,DESABOA
